text,label
异丁苯丙酸,"['NA', 'dīng', 'NA', 'NA', 'NA']"
成丁,"['NA', 'dīng']"
新丁,"['NA', 'dīng']"
旗丁,"['NA', 'dīng']"
札马鲁丁,"['NA', 'NA', 'NA', 'dīng']"
柳丁,"['NA', 'dīng']"
柳丁氨醇,"['NA', 'dīng', 'NA', 'NA']"
武丁,"['NA', 'dīng']"
氯丁橡胶,"['NA', 'dīng', 'NA', 'NA']"
添丁,"['NA', 'dīng']"
貉子,"['háo', 'NA']"
一个人,"['NA', 'gè', 'NA']"
一个幽灵在欧洲游荡,"['NA', 'gè', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
一递一个,"['NA', 'NA', 'NA', 'gè']"
三个世界,"['NA', 'gè', 'NA', 'NA']"
三个代表,"['NA', 'gè', 'NA', 'NA']"
下个月,"['NA', 'gè', 'NA']"
个人,"['gè', 'NA']"
个人主义,"['gè', 'NA', 'NA', 'NA']"
个人伤害,"['gè', 'NA', 'NA', 'NA']"
个人储蓄,"['gè', 'NA', 'NA', 'NA']"
个人崇拜,"['gè', 'NA', 'NA', 'NA']"
个人电脑,"['gè', 'NA', 'NA', 'NA']"
个人赛,"['gè', 'NA', 'NA']"
个人防护装备,"['gè', 'NA', 'NA', 'NA', 'NA', 'NA']"
个人隐私,"['gè', 'NA', 'NA', 'NA']"
个位,"['gè', 'NA']"
个例,"['gè', 'NA']"
个儿,"['gè', 'NA']"
个子,"['gè', 'NA']"
个展,"['gè', 'NA']"
个性,"['gè', 'NA']"
个旧,"['gè', 'NA']"
个案,"['gè', 'NA']"
个股,"['gè', 'NA']"
则个,"['NA', 'gè']"
彪个子,"['NA', 'gè', 'NA']"
戳个儿,"['NA', 'gè', 'NA']"
换个儿,"['NA', 'gè', 'NA']"
整个,"['NA', 'gè']"
次一个,"['NA', 'NA', 'gè']"
真个,"['NA', 'gè']"
矮个儿,"['NA', 'gè', 'NA']"
第一个层次,"['NA', 'NA', 'gè', 'NA', 'NA']"
逐个,"['NA', 'gè']"
一个个,"['NA', 'gè', 'gè']"
一个中国政策,"['NA', 'gè', 'zhōng', 'NA', 'NA', 'NA']"
三个女人一个墟,"['NA', 'gè', 'NA', 'NA', 'NA', 'gè', 'NA']"
一个巴掌拍不响,"['NA', 'ge', 'NA', 'NA', 'NA', 'NA', 'NA']"
一个样,"['NA', 'ge', 'NA']"
一天一个样,"['NA', 'NA', 'NA', 'ge', 'NA']"
下一个,"['NA', 'NA', 'ge']"
今儿个,"['NA', 'NA', 'ge']"
半个,"['NA', 'ge']"
半个人,"['NA', 'ge', 'NA']"
多个,"['NA', 'ge']"
明儿个,"['NA', 'NA', 'ge']"
昨儿个,"['NA', 'NA', 'ge']"
每个人,"['NA', 'ge', 'NA']"
第二个人,"['NA', 'NA', 'ge', 'NA']"
飞出个未来,"['NA', 'NA', 'ge', 'NA', 'NA']"
一中原则,"['NA', 'zhōng', 'NA', 'NA']"
不中用,"['NA', 'zhōng', 'NA']"
不完全中立,"['NA', 'NA', 'NA', 'zhōng', 'NA']"
世界贸易中心,"['NA', 'NA', 'NA', 'NA', 'zhōng', 'NA']"
世界金融中心,"['NA', 'NA', 'NA', 'NA', 'zhōng', 'NA']"
东中国海,"['NA', 'zhōng', 'NA', 'NA']"
中专,"['zhōng', 'NA']"
中东,"['zhōng', 'NA']"
中亚,"['zhōng', 'NA']"
中亚细亚,"['zhōng', 'NA', 'NA', 'NA']"
中亚草原,"['zhōng', 'NA', 'NA', 'NA']"
中产,"['zhōng', 'NA']"
中产阶级,"['zhōng', 'NA', 'NA', 'NA']"
中人,"['zhōng', 'NA']"
中介,"['zhōng', 'NA']"
中介所,"['zhōng', 'NA', 'NA']"
中企业,"['zhōng', 'NA', 'NA']"
中伏,"['zhōng', 'NA']"
中低端,"['zhōng', 'NA', 'NA']"
中俄,"['zhōng', 'NA']"
中值定理,"['zhōng', 'NA', 'NA', 'NA']"
中元,"['zhōng', 'NA']"
中元普渡,"['zhōng', 'NA', 'NA', 'NA']"
中农,"['zhōng', 'NA']"
中前卫,"['zhōng', 'NA', 'NA']"
中办,"['zhōng', 'NA']"
中北部,"['zhōng', 'NA', 'NA']"
中医,"['zhōng', 'NA']"
中医学,"['zhōng', 'NA', 'NA']"
中午,"['zhōng', 'NA']"
中卫,"['zhōng', 'NA']"
中印,"['zhōng', 'NA']"
中印半岛,"['zhōng', 'NA', 'NA', 'NA']"
中厅,"['zhōng', 'NA']"
中原,"['zhōng', 'NA']"
中古,"['zhōng', 'NA']"
中听,"['zhōng', 'NA']"
中国,"['zhōng', 'NA']"
中国产,"['zhōng', 'NA', 'NA']"
中国人,"['zhōng', 'NA', 'NA']"
中国人权组织,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国人民志愿军,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国人民武装警察部队,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国制造,"['zhōng', 'NA', 'NA', 'NA']"
中国剩余定理,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国北方工业公司,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国历史博物馆,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国国际信托投资公司,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国城,"['zhōng', 'NA', 'NA']"
中国共产主义青年团,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国共产党,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中国工程院,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中国式,"['zhōng', 'NA', 'NA']"
中国文联,"['zhōng', 'NA', 'NA', 'NA']"
中国新民党,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中国新闻社,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中国新闻网,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中国日报,"['zhōng', 'NA', 'NA', 'NA']"
中国时报,"['zhōng', 'NA', 'NA', 'NA']"
中国残联,"['zhōng', 'NA', 'NA', 'NA']"
中国气象局,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中国海,"['zhōng', 'NA', 'NA']"
中国海事局,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中国电信,"['zhōng', 'NA', 'NA', 'NA']"
中国电视公司,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国画,"['zhōng', 'NA', 'NA']"
中国科学院,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中国精密机械进出口公司,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国致公党,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中国航天工业公司,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国航海日,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中国船舶工业集团,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国船舶贸易公司,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中国菜,"['zhōng', 'NA', 'NA']"
中国话,"['zhōng', 'NA', 'NA']"
中国邮政,"['zhōng', 'NA', 'NA', 'NA']"
中国银联,"['zhōng', 'NA', 'NA', 'NA']"
中国青年报,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中土,"['zhōng', 'NA']"
中坚,"['zhōng', 'NA']"
中坜,"['zhōng', 'NA']"
中型,"['zhōng', 'NA']"
中声,"['zhōng', 'NA']"
中复电讯,"['zhōng', 'NA', 'NA', 'NA']"
中外,"['zhōng', 'NA']"
中天,"['zhōng', 'NA']"
中央,"['zhōng', 'NA']"
中央专制集权,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA']"
中央情报局,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中央政府,"['zhōng', 'NA', 'NA', 'NA']"
中央日报,"['zhōng', 'NA', 'NA', 'NA']"
中央汇金,"['zhōng', 'NA', 'NA', 'NA']"
中央海岭,"['zhōng', 'NA', 'NA', 'NA']"
中央社,"['zhōng', 'NA', 'NA']"
中央邦,"['zhōng', 'NA', 'NA']"
中央集权,"['zhōng', 'NA', 'NA', 'NA']"
中子,"['zhōng', 'NA']"
中子俘获,"['zhōng', 'NA', 'NA', 'NA']"
中子射线摄影,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA']"
中子星,"['zhōng', 'NA', 'NA']"
中子源,"['zhōng', 'NA', 'NA']"
中学,"['zhōng', 'NA']"
中学生,"['zhōng', 'NA', 'NA']"
中宣部,"['zhōng', 'NA', 'NA']"
中寮,"['zhōng', 'NA']"
中寮乡,"['zhōng', 'NA', 'NA']"
中小企业,"['zhōng', 'NA', 'NA', 'NA']"
中小型企业,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中共,"['zhōng', 'NA']"
中局,"['zhōng', 'NA']"
中层,"['zhōng', 'NA']"
中山,"['zhōng', 'NA']"
中山公园,"['zhōng', 'NA', 'NA', 'NA']"
中山成彬,"['zhōng', 'NA', 'NA', 'NA']"
中山装,"['zhōng', 'NA', 'NA']"
中山陵,"['zhōng', 'NA', 'NA']"
中岛,"['zhōng', 'NA']"
中岳,"['zhōng', 'NA']"
中关村,"['zhōng', 'NA', 'NA']"
中巴,"['zhōng', 'NA']"
中巴士,"['zhōng', 'NA', 'NA']"
中帮,"['zhōng', 'NA']"
中年,"['zhōng', 'NA']"
中庭,"['zhōng', 'NA']"
中庸,"['zhōng', 'NA']"
中式,"['zhōng', 'NA']"
中径,"['zhōng', 'NA']"
中微子,"['zhōng', 'NA', 'NA']"
中德诊所,"['zhōng', 'NA', 'NA', 'NA']"
中心,"['zhōng', 'NA']"
中心点,"['zhōng', 'NA', 'NA']"
中心矩,"['zhōng', 'NA', 'NA']"
中心粒,"['zhōng', 'NA', 'NA']"
中性,"['zhōng', 'NA']"
中性粒细胞,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中情局,"['zhōng', 'NA', 'NA']"
中意,"['zhōng', 'NA']"
中成药,"['zhōng', 'NA', 'NA']"
中控面板,"['zhōng', 'NA', 'NA', 'NA']"
中文,"['zhōng', 'NA']"
中文标准交换码,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中断,"['zhōng', 'NA']"
中新世,"['zhōng', 'NA', 'NA']"
中新社,"['zhōng', 'NA', 'NA']"
中新网,"['zhōng', 'NA', 'NA']"
中方,"['zhōng', 'NA']"
中方县,"['zhōng', 'NA', 'NA']"
中日,"['zhōng', 'NA']"
中日韩,"['zhōng', 'NA', 'NA']"
中日韩统一表意文字,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
中日韩越,"['zhōng', 'NA', 'NA', 'NA']"
中旬,"['zhōng', 'NA']"
中时,"['zhōng', 'NA']"
中旅社,"['zhōng', 'NA', 'NA']"
中村,"['zhōng', 'NA']"
中板,"['zhōng', 'NA']"
中枢,"['zhōng', 'NA']"
中欧,"['zhōng', 'NA']"
中止,"['zhōng', 'NA']"
中段,"['zhōng', 'NA']"
中毒途径,"['zhōng', 'NA', 'NA', 'NA']"
中毒酶,"['zhōng', 'NA', 'NA']"
中气层,"['zhōng', 'NA', 'NA']"
中气层顶,"['zhōng', 'NA', 'NA', 'NA']"
中江,"['zhōng', 'NA']"
中江县,"['zhōng', 'NA', 'NA']"
中法,"['zhōng', 'NA']"
中法战争,"['zhōng', 'NA', 'NA', 'NA']"
中波,"['zhōng', 'NA']"
中流,"['zhōng', 'NA']"
中流砥柱,"['zhōng', 'NA', 'NA', 'NA']"
中海油,"['zhōng', 'NA', 'NA']"
中港,"['zhōng', 'NA']"
中游,"['zhōng', 'NA']"
中澳,"['zhōng', 'NA']"
中点,"['zhōng', 'NA']"
中环,"['zhōng', 'NA']"
中生代,"['zhōng', 'NA', 'NA']"
中田英寿,"['zhōng', 'NA', 'NA', 'NA']"
中甸,"['zhōng', 'NA']"
中甸县,"['zhōng', 'NA', 'NA']"
中盘,"['zhōng', 'NA']"
中短债,"['zhōng', 'NA', 'NA']"
中秋,"['zhōng', 'NA']"
中科院,"['zhōng', 'NA', 'NA']"
中程,"['zhōng', 'NA']"
中立,"['zhōng', 'NA']"
中立国,"['zhōng', 'NA', 'NA']"
中立性,"['zhōng', 'NA', 'NA']"
中站,"['zhōng', 'NA']"
中等,"['zhōng', 'NA']"
中筋面粉,"['zhōng', 'NA', 'NA', 'NA']"
中级,"['zhōng', 'NA']"
中线,"['zhōng', 'NA']"
中组部,"['zhōng', 'NA', 'NA']"
中继,"['zhōng', 'NA']"
中继器,"['zhōng', 'NA', 'NA']"
中继站,"['zhōng', 'NA', 'NA']"
中缀,"['zhōng', 'NA']"
中美,"['zhōng', 'NA']"
中美洲,"['zhōng', 'NA', 'NA']"
中老年,"['zhōng', 'NA', 'NA']"
中老年人,"['zhōng', 'NA', 'NA', 'NA']"
中耳,"['zhōng', 'NA']"
中耳炎,"['zhōng', 'NA', 'NA']"
中联航,"['zhōng', 'NA', 'NA']"
中胚层,"['zhōng', 'NA', 'NA']"
中英,"['zhōng', 'NA']"
中英对照,"['zhōng', 'NA', 'NA', 'NA']"
中英文对照,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中草药,"['zhōng', 'NA', 'NA']"
中药,"['zhōng', 'NA']"
中装,"['zhōng', 'NA']"
中西,"['zhōng', 'NA']"
中西医,"['zhōng', 'NA', 'NA']"
中西部,"['zhōng', 'NA', 'NA']"
中视,"['zhōng', 'NA']"
中财,"['zhōng', 'NA']"
中资,"['zhōng', 'NA']"
中越战争,"['zhōng', 'NA', 'NA', 'NA']"
中辍,"['zhōng', 'NA']"
中辣,"['zhōng', 'NA']"
中远,"['zhōng', 'NA']"
中远太平洋,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中远集团,"['zhōng', 'NA', 'NA', 'NA']"
中远香港集团,"['zhōng', 'NA', 'NA', 'NA', 'NA', 'NA']"
中途,"['zhōng', 'NA']"
中途岛,"['zhōng', 'NA', 'NA']"
中途岛战役,"['zhōng', 'NA', 'NA', 'NA', 'NA']"
中部,"['zhōng', 'NA']"
中银,"['zhōng', 'NA']"
中锋,"['zhōng', 'NA']"
中阮,"['zhōng', 'NA']"
中阳,"['zhōng', 'NA']"
中阳县,"['zhōng', 'NA', 'NA']"
中隔,"['zhōng', 'NA']"
中青,"['zhōng', 'NA']"
中青年,"['zhōng', 'NA', 'NA']"
中非,"['zhōng', 'NA']"
中韩,"['zhōng', 'NA']"
中餐,"['zhōng', 'NA']"
中餐馆,"['zhōng', 'NA', 'NA']"
中饭,"['zhōng', 'NA']"
中饱,"['zhōng', 'NA']"
之中,"['NA', 'zhōng']"
二氯乙烷中毒,"['NA', 'NA', 'NA', 'NA', 'zhōng', 'NA']"
于雾霭之中,"['NA', 'NA', 'NA', 'NA', 'zhōng']"
人中,"['NA', 'zhōng']"
人中龙凤,"['NA', 'zhōng', 'NA', 'NA']"
使用者中介,"['NA', 'NA', 'NA', 'zhōng', 'NA']"
俄中,"['NA', 'zhōng']"
信孚中外,"['NA', 'NA', 'zhōng', 'NA']"
信息中心,"['NA', 'NA', 'zhōng', 'NA']"
初中,"['NA', 'zhōng']"
初中生,"['NA', 'zhōng', 'NA']"
初级中学,"['NA', 'NA', 'zhōng', 'NA']"
北京环球金融中心,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'zhōng', 'NA']"
医学中心,"['NA', 'NA', 'zhōng', 'NA']"
半中腰,"['NA', 'zhōng', 'NA']"
古今中外,"['NA', 'NA', 'zhōng', 'NA']"
吴中,"['NA', 'zhōng']"
呼中,"['NA', 'zhōng']"
呼叫中心,"['NA', 'NA', 'zhōng', 'NA']"
命中注定,"['NA', 'zhōng', 'NA', 'NA']"
唐中宗,"['NA', 'zhōng', 'NA']"
商业中心,"['NA', 'NA', 'zhōng', 'NA']"
党中央,"['NA', 'zhōng', 'NA']"
国中,"['NA', 'zhōng']"
国中之国,"['NA', 'zhōng', 'NA', 'NA']"
国民中学,"['NA', 'NA', 'zhōng', 'NA']"
国际医疗中心,"['NA', 'NA', 'NA', 'NA', 'zhōng', 'NA']"
城中村,"['NA', 'zhōng', 'NA']"
备中,"['NA', 'zhōng']"
多端中继器,"['NA', 'NA', 'zhōng', 'NA', 'NA']"
天津环球金融中心,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'zhōng', 'NA']"
央中,"['NA', 'zhōng']"
套中人,"['NA', 'zhōng', 'NA']"
奥斯威辛集中营,"['NA', 'NA', 'NA', 'NA', 'NA', 'zhōng', 'NA']"
妙在不言中,"['NA', 'NA', 'NA', 'NA', 'zhōng']"
全身中毒性毒剂,"['NA', 'NA', 'zhōng', 'NA', 'NA', 'NA', 'NA']"
孙中山,"['NA', 'zhōng', 'NA']"
安徽中医学院,"['NA', 'NA', 'zhōng', 'NA', 'NA', 'NA']"
局中人,"['NA', 'zhōng', 'NA']"
局外中立,"['NA', 'NA', 'zhōng', 'NA']"
山中圣训,"['NA', 'zhōng', 'NA', 'NA']"
居中,"['NA', 'zhōng']"
关中,"['NA', 'zhōng']"
关中平原,"['NA', 'zhōng', 'NA', 'NA']"
巴中,"['NA', 'zhōng']"
帧中继,"['NA', 'zhōng', 'NA']"
年中,"['NA', 'zhōng']"
张治中,"['NA', 'NA', 'zhōng']"
微中子,"['NA', 'zhōng', 'NA']"
心中,"['NA', 'zhōng']"
快中子,"['NA', 'zhōng', 'NA']"
快感中心,"['NA', 'NA', 'zhōng', 'NA']"
意中,"['NA', 'zhōng']"
意中事,"['NA', 'zhōng', 'NA']"
意中人,"['NA', 'zhōng', 'NA']"
意料之中,"['NA', 'NA', 'NA', 'zhōng']"
房产中介,"['NA', 'NA', 'zhōng', 'NA']"
房屋中介,"['NA', 'NA', 'zhōng', 'NA']"
扬中,"['NA', 'zhōng']"
投影中心,"['NA', 'NA', 'zhōng', 'NA']"
日中,"['NA', 'zhōng']"
晋中,"['NA', 'zhōng']"
暗中,"['NA', 'zhōng']"
月中,"['NA', 'zhōng']"
杯中物,"['NA', 'zhōng', 'NA']"
梦中,"['NA', 'zhōng']"
榆中,"['NA', 'zhōng']"
榆中县,"['NA', 'zhōng', 'NA']"
橐中装,"['NA', 'zhōng', 'NA']"
死中求生,"['NA', 'zhōng', 'NA', 'NA']"
民主集中制,"['NA', 'NA', 'NA', 'zhōng', 'NA']"
水中捞月,"['NA', 'zhōng', 'NA', 'NA']"
汉中,"['NA', 'zhōng']"
活动中心,"['NA', 'NA', 'zhōng', 'NA']"
渝中,"['NA', 'zhōng']"
湟中,"['NA', 'zhōng']"
湟中县,"['NA', 'zhōng', 'NA']"
火中取栗,"['NA', 'zhōng', 'NA', 'NA']"
热中,"['NA', 'zhōng']"
热中子,"['NA', 'zhōng', 'NA']"
琼中,"['NA', 'zhōng']"
琼中县,"['NA', 'zhōng', 'NA']"
琼中黎族苗族自治县,"['NA', 'zhōng', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
瓮中之鳖,"['NA', 'zhōng', 'NA', 'NA']"
瓮中捉鳖,"['NA', 'zhōng', 'NA', 'NA']"
田中,"['NA', 'zhōng']"
